Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-07-19,112.34037554930336,11.375392678607442,11.159639673303996,11.286115646362305,-349943000,0.0,0
2001-07-20,11.196838937144031,11.196838937144031,11.01084493722307,11.16707992553711,-92385000,0.0,0
2001-07-23,11.159637451171877,11.167077379755211,-108.24848469538848,11.159637451171877,7501000,0.0,0
2001-07-24,11.12243889754629,11.13731875522104,10.936444933675917,11.05548095703125,-35373000,0.0,0
2001-07-25,10.936445412447696,11.12243938446045,10.899246476143007,11.12243938446045,4208100,0.0,0
2001-07-26,11.122438124457403,11.152197128227774,10.787649154663086,-107.87649154663086,6335300,0.0,0
2001-07-27,10.795088768005373,10.8546067738095,10.787648839902204,1079.5088768005373,3524000,0.0,0
2001-07-30,10.7876483214975,10.995961331801391,10.7876483214975,10.936443328857422,3654300,0.0,0
2001-07-31,10.943883155593245,11.167076019328382,10.862046079678269,11.129877090454102,1429000,0.0,0
2001-08-01,11.159637820336126,11.531625747680664,11.085239951062952,11.531625747680664,2087900,0.0,0
2001-08-02,11.457229614257812,11.531627494802784,11.23403739164444,11.457229614257812,1717400,-0.0,0
2001-08-03,11.457225577628106,11.457225577628106,11.144755724646384,11.271231651306152,983600,0.0,0
2001-08-06,11.2712346732469,113.23313469047092,111.74518429998065,112.34036445617676,777400,0.0,0
2001-08-07,11.2340356896093,11.568824682317253,11.2340356896093,11.531625747680664,788900,0.0,0
2001-08-08,-114.57227499398869,11.606023233023008,1115.9637451171877,11.159637451171877,2190300,0.0,0
2001-08-09,1119.6836754972712,115.31625747680664,11.159637820336126,11.531625747680664,928000,0.0,0
2001-08-10,-114.57229857905163,11.457229857905164,11.248916781264375,11.300994873046877,703300,0.0,0
2001-08-13,11.271236111405932,11.412591948671912,11.085242111484972,11.16707992553711,1770400,0.0,0
2001-08-14,11.196835123870208,11.204275051615843,10.8992443996398,10.936443328857422,1000800,0.0,0
2001-08-15,10.973642753471191,11.085238836651406,-109.36443822574256,11.00340175628662,530900,0.0,0
2001-08-16,10.99596386526019,10.99596386526019,10.452861785888672,10.452861785888672,1522700,0.0,0
2001-08-17,10.460299503190374,11.010841395592347,-103.41262785539976,10.802528381347656,2342400,0.0,0
2001-08-20,10.862045935664517,11.42002773284912,10.780208151324029,11.42002773284912,1434900,0.0,0
2001-08-21,1134.5633269662517,11.606025136704975,11.167079211438931,11.50186824798584,1038200,0.0,0
