Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
Truck Driver,75673.1363490513,16.489737257337893,PhD,0.9414080152620344,1.363116773438886,0.9278932476149471,High,0.2936379337126609,0.5847059018682647,0.3247716766573102,0.26148697420890915,0.6240635262763197,0.8089916369134574,0.08597483055441182,0.2878713610968726,0.22800139927122276,0.7954791926510602
Truck Driver,95532.88191798994,29.348068960489297,Bachelor's,0.12123345490988517,1.4457342932188613,0.7945108405517304,High,0.04370049230987368,0.31872064208789136,0.34236504254385874,0.09086059239273363,0.6224296585675739,0.35518704258013095,0.6203042428558364,0.0018059898667371031,0.9866857768868427,0.15516940894397746
Research Scientist,33964.9953117696,13.090033987551223,Master's,0.6563022844724158,0.7354329687344238,0.24318132657703512,Low,0.5381436722055188,0.15312454349178772,0.5894219937874767,1.0247367920714812,0.15141495206571925,0.8283071653917441,0.20289856686783383,0.770496273607012,0.7122109207482712,0.2804893809928838
Mechanic,80366.4201169199,24.436754688228312,High School,0.6489650897617653,0.5944816783831668,0.35753480254232806,Medium,0.3975316428228684,0.733620184431473,0.865452710905698,0.01163287527026894,0.3363350047639756,0.43287949064419645,0.8878073292111003,0.5032619591049332,0.28767813202759895,0.376345354549479
Retail Worker,115134.1555534981,3.4351483194856125,Master's,0.7589977826179352,0.5274677430676792,0.9333987284403833,High,0.16341152914994073,0.9075980375924111,0.5267371012740756,0.5558743009317577,0.07466896130326076,0.3746864059482802,0.18323173539225682,0.5354158859415867,0.5695380809813237,0.7200860752507185
Data Scientist,74210.1481343301,14.99535982382569,Master's,0.3334427389861496,0.7103224909207216,0.4173409162057281,Medium,0.44187225316779677,0.19082417297694254,0.9655606933273008,0.12018404455267316,0.9910405812749798,0.829010343033773,0.41412087006253717,0.7151549016885411,0.653696027459869,0.2578967609045922
HR Specialist,74205.60490788138,8.096125666041896,Bachelor's,0.46151020670894566,1.2126249448929554,0.6336631588494551,Medium,0.24414224713834917,0.6786384620185678,0.40346998419087243,0.37118398982496276,0.6847460669928581,0.372576243766596,0.36741507091750575,0.809690581559537,0.0932804281084787,0.6507069356552656
HR Specialist,71553.1851304598,2.3280846021216415,PhD,0.5969711820008137,0.8740447723975772,0.4343184034642452,Medium,0.8459651580963861,0.8686589008285067,0.5838566786407993,0.4925931803894766,0.8434507262816228,0.7573378931467531,0.40503774593693576,0.07511154376354341,0.7540270452717511,0.18418826282349088
UX Researcher,135588.42660622214,0.9143091276767756,PhD,0.354094817175796,1.4072897400050424,0.6669569333353226,Medium,0.2974551310133961,0.15960406878332606,0.44763815512536653,0.3515120186091893,0.6731836501482772,0.9848062161548435,0.3933138755690683,0.05343249323592079,0.915569019093616,0.025036555359143495
Truck Driver,108898.33044274649,28.8241432616917,High School,0.4898966921181592,0.5395737206511716,0.9252626734817282,High,0.7375919242017986,0.320578854465515,0.3306552302509223,0.45716625469878164,0.6193234669398077,0.12362323909550814,0.18349350113739996,0.8634372734459801,0.251375816382107,0.38626257594658986
Doctor,124234.68276629882,8.156129846226692,High School,0.602311186164136,1.2204648206114217,0.28407299942468245,Low,0.8039429666854938,0.22894557700527185,0.8276099558461215,0.11147756544191609,0.6427807976494139,0.890911114974505,0.08863648904822011,0.8438059126698617,0.7847447506466463,0.49482274433765827
Graphic Designer,109424.13405746981,25.514894703346286,Bachelor's,0.451665623019773,0.4888787130987643,0.4954100906975103,Medium,0.0700819556793306,0.963484335626359,0.7902513655972377,0.48780938711616345,0.08948003650896988,0.6033278904010779,0.7559804620047957,0.18809094205381974,0.5607677757713604,0.8275939464041867
Financial Analyst,108156.2442000914,4.555329568034603,Bachelor's,0.18310734612661586,1.308415977298214,0.40055841851710183,Medium,0.06965238011388494,0.20794628170027735,0.8703022640616882,0.27761212650591993,0.7054375562136153,0.4037302181238323,0.25846359071358105,0.12641261442705082,0.9746587672031183,0.5181843317401047
