Average_Salary,Years_Experience,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Job_Title,Education_Level,Risk_Category
47817.80698199321,10.545406142070155,0.3717873727541133,0.7115203025889936,0.7957331342359849,0.3711293070216572,0.35356752462738666,0.7825593140591769,0.6094325935295024,0.9143896881323528,0.5072761956131937,0.12059070629062982,0.8114362314561918,0.45717078653960463,0.3082236188292207,Truck Driver,Bachelor's,High
94262.33750800998,15.018433372320557,0.21121144967867084,1.3122773639466208,0.221958145165337,0.28598572513312287,0.7344847288946887,0.7474969160067273,0.956641397461557,0.3976426867317751,0.8305037785800072,0.317473633237222,0.1607470379712749,0.7161591572576969,0.4791273338997452,Research Scientist,PhD,Low
128301.04096259177,7.914121462488084,0.8290011023051415,0.9318083420126833,0.5369465733710783,0.28166463604479003,0.566957211576407,0.08140906108537282,0.9174348566065158,0.702486138128644,0.6138194550782974,0.05498851523695361,0.36143072063703385,0.12071401621003272,0.2851831025818447,Graphic Designer,Master's,Medium
115163.06520039408,24.05880112883348,0.43846883028057687,0.681994549767659,0.8124168775646111,0.2122484051291066,0.26524149370639727,0.4732463912369071,0.11805704034936457,0.14844548504086008,0.4846145075163849,0.603004974010844,0.5149863538710829,0.5243274385180732,0.34523880185584893,Customer Support,PhD,High
75374.27465478539,3.1945398097919746,0.5222330775340001,1.086968755374249,0.2622468869784711,0.6742916644320569,0.5558003981112806,0.14484533575919678,0.4428334772622622,0.24590989461231852,0.7678073817203209,0.8843109101918354,0.30925234921363587,0.738074498601054,0.27309842078617835,Chef,Bachelor's,Medium
86280.02565110978,13.393373302288982,0.6036073670875818,1.39134203787368,0.9295222942338817,0.5188406268495053,0.7436354216371814,0.694466289880649,0.35111824338685543,0.19,0.6094078860677116,0.06007510105991093,0.49041501760387896,0.8061542919068523,0.2356748130464265,Construction Worker,PhD,High
35983.016855864844,2.7891785094573223,0.8294926153138126,1.011688354007248,0.8588089716606602,0.25390490076894323,0.6270073939358192,0.5612302212241278,0.766782041989603,0.6083251364686442,0.6355891492163424,0.5852080013737619,0.6807929354824165,0.6777394159142829,0.37643171498085876,Data Scientist,Master's,Medium
138526.717615195,27.714255654094078,0.526404350157605,0.9603418269032304,0.44965400527133625,0.6370541079686425,0.4612673657384227,0.13454396160029855,0.9141886567890418,0.4272139029032898,0.5200807881654068,0.323722023880102,0.34947697131489397,0.5713924352129323,0.45805079307049135,Data Scientist,Bachelor's,Medium
83025.8053104537,18.88873513580208,0.9172980403621204,0.9598686834484795,0.4841847741460395,0.7441640741233346,0.3149869538235427,0.7235608618722451,0.30962256435927704,0.274455380995317,0.436902997412502,0.345081661308364,0.8187672015741363,0.6056145548494821,0.6234477319001627,Data Scientist,PhD,Medium
80075.10940511047,12.137310543549827,0.15596360244645557,1.284024693591896,0.4349715717573366,0.6730434530459976,0.3035945086016428,0.23154537835597658,0.01288495392181461,0.4306917381586484,0.28621235956167757,0.6729149353272772,0.4526849571976077,0.616083378667964,0.8357427237449281,Data Scientist,High School,Medium
