Date,Close,High,Low,Open,Volume
1997-05-15,0.0979169979691505,0.125,0.0963540002703666,0.1218750029802322,
1997-05-16,0.0864579975605011,0.0989580005407333,0.0854170024394989,,294000000.0
1997-05-19,0.0854170024394989,0.0885419994592666,,0.0880210027098655,122136000.0
1997-05-20,0.0817710012197494,0.0874999985098838,0.0817710012197494,0.0864579975605011,109344000.0
1997-05-21,,0.0822919979691505,,0.0817710012197494,377064000.0
1997-05-22,0.0697920024394989,0.0723960027098655,0.0656249970197677,0.0718749985098838,
1997-05-23,0.0750000029802322,0.0760419964790344,0.0666669979691505,0.0703129991889,
1997-05-27,0.0791670009493827,,0.0729169994592666,0.0755209997296333,173952000.0
1997-05-28,0.0765630006790161,0.0817710012197494,,0.0812499970197677,
1997-05-29,,0.0770829990506172,0.0739580020308494,,69456000.0
1997-05-30,0.0750000029802322,0.0755209997296333,0.0739580020308494,0.0750000029802322,51888000.0
1997-06-02,0.0755209997296333,,0.0750000029802322,0.0755209997296333,
1997-06-03,0.0739580020308494,0.0765630006790161,0.0739580020308494,0.0765630006790161,23664000.0
1997-06-04,0.0708329975605011,0.0744789987802505,0.0697920024394989,0.0739580020308494,
1997-06-05,0.0770829990506172,,0.0687500014901161,0.0708329975605011,
1997-06-06,0.0828130021691322,,0.0755209997296333,0.0757810026407241,156144000.0
1997-06-09,0.0843750014901161,0.0854170024394989,,0.0828130021691322,47040000.0
1997-06-10,0.0791670009493827,0.0854170024394989,0.0765630006790161,0.0854170024394989,109176000.0
1997-06-11,,0.0802080035209655,,0.0796879976987838,23760000.0
1997-06-12,0.0802080035209655,0.0822919979691505,0.0776040032505989,0.0791670009493827,32640000.0
1997-06-13,0.0791670009493827,,0.0791670009493827,,13872000.0
1997-06-16,0.078645996749401,0.0802080035209655,0.078125,0.0802080035209655,
1997-06-17,,,0.0747400000691413,0.0799480006098747,94128000.0
1997-06-18,0.0755209997296333,0.0768230035901069,0.0750000029802322,0.0760419964790344,49296000.0
1997-06-19,0.0755209997296333,0.0765630006790161,,,
1997-06-20,0.0763019993901252,0.0776040032505989,0.0750000029802322,0.0765630006790161,
1997-06-23,0.0750000029802322,0.0770829990506172,0.0739580020308494,,20952000.0
1997-06-24,,0.0763019993901252,0.0739580020308494,0.0752599984407424,
1997-06-25,0.0755209997296333,,0.0744789987802505,0.0763019993901252,42120000.0
1997-06-26,0.0755209997296333,0.0760419964790344,0.0752599984407424,0.0760419964790344,63792000.0
1997-06-27,,0.0757810026407241,0.0739580020308494,0.0757810026407241,23760000.0
1997-06-30,0.0770829990506172,0.0799480006098747,,,54936000.0
1997-07-01,0.0757810026407241,0.0770829990506172,0.0755209997296333,0.0770829990506172,25848000.0
1997-07-02,,0.0796879976987838,0.0755209997296333,0.0757810026407241,77640000.0
1997-07-03,0.0955730006098747,0.0958330035209655,0.0796879976987838,0.0799480006098747,251544000.0
1997-07-07,0.1000000014901161,0.1010420024394989,0.0916669964790344,0.0916669964790344,161064000.0
1997-07-08,0.1151039972901344,0.1166670024394989,0.1020829975605011,0.1020829975605011,310344000.0
1997-07-09,0.1161459982395172,0.1192710027098655,0.1135419979691505,0.1151039972901344,165240000.0
1997-07-10,0.1281249970197677,0.1286460012197494,0.1166670024394989,0.1166670024394989,181032000.0
1997-07-11,0.1145830005407333,0.1260419934988021,0.1104170009493827,0.1260419934988021,210624000.0
1997-07-14,0.1067709997296333,0.1166670024394989,0.1057289987802505,0.1161459982395172,
1997-07-15,0.1218750029802322,0.1239579990506172,0.1067709997296333,0.1067709997296333,185496000.0
1997-07-16,0.1166670024394989,0.1247399970889091,0.1151039972901344,0.1223959997296333,60480000.0
1997-07-17,,0.1171879991889,0.1078130006790161,0.1171879991889,63384000.0
1997-07-18,0.1078130006790161,0.1109379976987838,0.1078130006790161,,15600000.0
